alpha,condition,js,nll,nll_zero
2.0,shuf,0.10168936103582382,4.655967712402344,3.380683660507202
0.0,real,0.0,6.030635833740234,6.030635833740234
0.0,shuf,0.0,6.030635833740234,6.030635833740234
0.25,real,0.0072851721197366714,5.571957588195801,6.030635833740234
0.25,shuf,0.00881335698068142,5.588764667510986,6.030635833740234
0.5,real,0.01778296008706093,5.39230489730835,6.030635833740234
0.5,shuf,0.021092098206281662,5.420116901397705,6.030635833740234
1.0,real,0.03515361249446869,5.348320007324219,6.030635833740234
1.0,shuf,0.040576767176389694,5.245278835296631,6.030635833740234
2.0,real,0.06908097118139267,5.892672538757324,6.030635833740234
2.0,shuf,0.10882768034934998,5.431633472442627,6.030635833740234
0.0,real,0.0,3.174325942993164,3.174325942993164
0.0,shuf,0.0,3.174325942993164,3.174325942993164
0.25,real,0.05426134914159775,2.2309460639953613,3.174325942993164
0.25,shuf,0.03661429136991501,2.616945266723633,3.174325942993164
0.5,real,0.10876071453094482,1.5844743251800537,3.174325942993164
0.5,shuf,0.09090471267700195,1.951774001121521,3.174325942993164
1.0,real,0.21075867116451263,0.9563778638839722,3.174325942993164
1.0,shuf,0.22533422708511353,1.3699859380722046,3.174325942993164
2.0,real,0.30710551142692566,4.004520416259766,3.174325942993164
2.0,shuf,0.28395918011665344,2.20790958404541,3.174325942993164
0.0,real,0.0,4.737939834594727,4.737939834594727
0.0,shuf,0.0,4.737939834594727,4.737939834594727
0.25,real,0.03558720275759697,4.84525203704834,4.737939834594727
0.25,shuf,0.03994906321167946,4.701058864593506,4.737939834594727
0.5,real,0.07315733283758163,4.312320232391357,4.737939834594727
0.5,shuf,0.09895549714565277,4.028942584991455,4.737939834594727
1.0,real,0.1597689837217331,4.450380802154541,4.737939834594727
1.0,shuf,0.2238447666168213,4.294172286987305,4.737939834594727
2.0,real,0.29561322927474976,5.453022003173828,4.737939834594727
2.0,shuf,0.4898991286754608,6.881326198577881,4.737939834594727
0.0,real,0.0,1.2167885303497314,1.2167885303497314
0.0,shuf,0.0,1.2167885303497314,1.2167885303497314
0.25,real,0.04645515978336334,0.6574857234954834,1.2167885303497314
0.25,shuf,0.049439169466495514,0.634838342666626,1.2167885303497314
0.5,real,0.09151685237884521,0.605758011341095,1.2167885303497314
0.5,shuf,0.09102600812911987,0.5693584084510803,1.2167885303497314
1.0,real,0.13916532695293427,0.5233197212219238,1.2167885303497314
1.0,shuf,0.11898154020309448,0.5813035368919373,1.2167885303497314
2.0,real,0.1479964256286621,0.980169415473938,1.2167885303497314
2.0,shuf,0.23937468230724335,1.4631630182266235,1.2167885303497314
0.0,real,0.0,1.2895033359527588,1.2895033359527588
0.0,shuf,0.0,1.2895033359527588,1.2895033359527588
0.25,real,0.03960510343313217,0.820540189743042,1.2895033359527588
0.25,shuf,0.017631225287914276,1.2714976072311401,1.2895033359527588
0.5,real,0.07769151777029037,0.6237720251083374,1.2895033359527588
0.5,shuf,0.0744982659816742,1.5089342594146729,1.2895033359527588
1.0,real,0.15347759425640106,0.42917320132255554,1.2895033359527588
1.0,shuf,0.21286354959011078,2.093454599380493,1.2895033359527588
2.0,real,0.1976967751979828,1.104809045791626,1.2895033359527588
2.0,shuf,0.5160398483276367,6.646410942077637,1.2895033359527588
0.0,real,0.0,1.8174853324890137,1.8174853324890137
0.0,shuf,0.0,1.8174853324890137,1.8174853324890137
0.25,real,0.09403379261493683,0.6356315612792969,1.8174853324890137
0.25,shuf,0.09823139011859894,0.6573271155357361,1.8174853324890137
0.5,real,0.17508409917354584,0.3837070167064667,1.8174853324890137
0.5,shuf,0.1729094386100769,0.4876432418823242,1.8174853324890137
1.0,real,0.2215835303068161,0.33635640144348145,1.8174853324890137
1.0,shuf,0.22912085056304932,0.7561770081520081,1.8174853324890137
2.0,real,0.19933994114398956,0.9561946988105774,1.8174853324890137
2.0,shuf,0.33872658014297485,4.595466613769531,1.8174853324890137
0.0,real,0.0,-0.0,-0.0
0.0,shuf,0.0,-0.0,-0.0
0.25,real,1.244691683055521e-09,-0.0,-0.0
0.25,shuf,1.5330314795392042e-09,-0.0,-0.0
0.5,real,3.0385520766174068e-09,-0.0,-0.0
0.5,shuf,3.93129884201926e-09,-0.0,-0.0
1.0,real,9.259731648114666e-09,-0.0,-0.0
1.0,shuf,8.371561222020318e-09,-0.0,-0.0
2.0,real,6.616212340304628e-05,0.00019226610311307013,-0.0
2.0,shuf,0.0002873424382414669,0.0008305437513627112,-0.0
0.0,real,0.0,2.7927980422973633,2.7927980422973633
0.0,shuf,0.0,2.7927980422973633,2.7927980422973633
0.25,real,0.021477267146110535,2.379002571105957,2.7927980422973633
0.25,shuf,0.009098825976252556,2.652205467224121,2.7927980422973633
0.5,real,0.051150791347026825,2.2020883560180664,2.7927980422973633
0.5,shuf,0.028778282925486565,2.3672189712524414,2.7927980422973633
1.0,real,0.08348816633224487,2.567012310028076,2.7927980422973633
1.0,shuf,0.06194978207349777,3.1708693504333496,2.7927980422973633
2.0,real,0.27453094720840454,3.2924411296844482,2.7927980422973633
2.0,shuf,0.5542066097259521,9.571578979492188,2.7927980422973633
0.0,real,0.0,3.8110899925231934,3.8110899925231934
0.0,shuf,0.0,3.8110899925231934,3.8110899925231934
0.25,real,0.051385194063186646,3.3806731700897217,3.8110899925231934
0.25,shuf,0.04396488890051842,3.4843969345092773,3.8110899925231934
0.5,real,0.16238540410995483,3.183351516723633,3.8110899925231934
0.5,shuf,0.10713150352239609,3.506371021270752,3.8110899925231934
1.0,real,0.3426712155342102,2.8757143020629883,3.8110899925231934
1.0,shuf,0.23296546936035156,3.616224527359009,3.8110899925231934
2.0,real,0.48871397972106934,2.5722243785858154,3.8110899925231934
2.0,shuf,0.36041539907455444,2.7024893760681152,3.8110899925231934
0.0,real,0.0,6.479334831237793,6.479334831237793
0.0,shuf,0.0,6.479334831237793,6.479334831237793
0.25,real,0.03875593841075897,4.4315385818481445,6.479334831237793
0.25,shuf,0.015547560527920723,4.882533550262451,6.479334831237793
0.5,real,0.10920058935880661,3.315464735031128,6.479334831237793
0.5,shuf,0.07652700692415237,3.4245989322662354,6.479334831237793
1.0,real,0.4631727933883667,1.7821882963180542,6.479334831237793
1.0,shuf,0.3227517008781433,2.2777481079101562,6.479334831237793
2.0,real,0.562259316444397,1.8604912757873535,6.479334831237793
2.0,shuf,0.5672797560691833,3.1998138427734375,6.479334831237793
0.0,real,0.0,2.4326088428497314,2.4326088428497314
0.0,shuf,0.0,2.4326088428497314,2.4326088428497314
0.25,real,0.029795264825224876,1.703404426574707,2.4326088428497314
0.25,shuf,0.02248130366206169,1.9250108003616333,2.4326088428497314
0.5,real,0.1222449243068695,0.8429679870605469,2.4326088428497314
0.5,shuf,0.0898754820227623,1.0820962190628052,2.4326088428497314
1.0,real,0.2624797821044922,0.4339093267917633,2.4326088428497314
1.0,shuf,0.21993201971054077,0.5684996843338013,2.4326088428497314
2.0,real,0.2895089387893677,1.0079877376556396,2.4326088428497314
2.0,shuf,0.3662608563899994,4.436443328857422,2.4326088428497314
0.0,real,0.0,2.9906229972839355,2.9906229972839355
0.0,shuf,0.0,2.9906229972839355,2.9906229972839355
0.25,real,0.02265186235308647,2.3597702980041504,2.9906229972839355
0.25,shuf,0.027462821453809738,2.305570602416992,2.9906229972839355
0.5,real,0.0640559270977974,2.3387558460235596,2.9906229972839355
0.5,shuf,0.06827211380004883,1.9755061864852905,2.9906229972839355
1.0,real,0.24432192742824554,2.929781436920166,2.9906229972839355
1.0,shuf,0.21204979717731476,1.8181980848312378,2.9906229972839355
2.0,real,0.4237760901451111,3.9416589736938477,2.9906229972839355
2.0,shuf,0.3966044783592224,2.438070297241211,2.9906229972839355
0.0,real,0.0,0.0039341445080935955,0.0039341445080935955
0.0,shuf,0.0,0.0039341445080935955,0.0039341445080935955
0.25,real,0.0004271735961083323,0.0011559001868590713,0.0039341445080935955
0.25,shuf,0.0004374332493171096,0.0011441120877861977,0.0039341445080935955
0.5,real,0.0008399373618885875,0.0004213160718791187,0.0039341445080935955
0.5,shuf,0.0007768325740471482,0.0005129451747052372,0.0039341445080935955
1.0,real,0.0011809517163783312,0.00010096516780322418,0.0039341445080935955
1.0,shuf,0.001057316199876368,0.00021479207498487085,0.0039341445080935955
2.0,real,0.02224101312458515,0.0715925395488739,0.0039341445080935955
2.0,shuf,0.04969555512070656,0.15657497942447662,0.0039341445080935955
0.0,real,0.0,5.151994705200195,5.151994705200195
0.0,shuf,0.0,5.151994705200195,5.151994705200195
0.25,real,0.026874741539359093,4.658675670623779,5.151994705200195
0.25,shuf,0.0212867334485054,4.980646133422852,5.151994705200195
0.5,real,0.09948056936264038,3.988088846206665,5.151994705200195
0.5,shuf,0.10007286816835403,4.445724964141846,5.151994705200195
1.0,real,0.2958226799964905,3.000772714614868,5.151994705200195
1.0,shuf,0.4050653278827667,3.9553115367889404,5.151994705200195
2.0,real,0.24526821076869965,3.745027780532837,5.151994705200195
2.0,shuf,0.36588650941848755,3.6166961193084717,5.151994705200195
0.0,real,0.0,0.9965230226516724,0.9965230226516724
0.0,shuf,0.0,0.9965230226516724,0.9965230226516724
0.25,real,0.03870120644569397,0.8632686138153076,0.9965230226516724
0.25,shuf,0.10478280484676361,1.1845042705535889,0.9965230226516724
0.5,real,0.10807906836271286,0.844819962978363,0.9965230226516724
0.5,shuf,0.255537211894989,1.6468589305877686,0.9965230226516724
1.0,real,0.134148508310318,0.689643383026123,0.9965230226516724
1.0,shuf,0.35763853788375854,2.2570595741271973,0.9965230226516724
2.0,real,0.15574166178703308,0.47954559326171875,0.9965230226516724
2.0,shuf,0.31908923387527466,2.235076427459717,0.9965230226516724
0.0,real,0.0,1.4160114526748657,1.4160114526748657
0.0,shuf,0.0,1.4160114526748657,1.4160114526748657
0.25,real,0.011695243418216705,1.3353267908096313,1.4160114526748657
0.25,shuf,0.01645050197839737,1.5990735292434692,1.4160114526748657
0.5,real,0.04285355284810066,0.9350204467773438,1.4160114526748657
